Country,INFORM RISK,RISK CLASS,HAZARD & EXPOSURE,Natural,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care
AFG,8.2,Very High,8.9,6.7,9.7,7.2,0.0,0.0,8.4,7.0,10.0,10.0,10.0,8.4,7.7,8.5,8.7,5.1,8.9,10.0,2.2,4.4,10.0,6.4,6.9,7.3,7.2,6.3,8.0,7.3,6.3,7.3,8.3
ALB,2.8,Low,3.8,6.3,9.3,4.7,7.8,0.0,6.6,4.7,0.1,0.1,0.0,1.3,2.0,1.9,2.3,1.8,0.5,0.0,0.2,0.5,1.8,0.9,0.9,4.4,5.8,x,5.8,2.6,2.3,1.7,3.8
DZA,4.0,Medium,5.1,4.9,8.8,5.2,4.6,0.0,2.4,4.2,5.3,7.6,0.0,2.9,2.5,3.2,3.2,0.2,3.3,5.3,0.5,1.3,0.1,0.0,0.5,4.4,4.9,3.5,6.2,3.8,3.4,4.1,3.9
AGO,4.8,Medium,3.0,3.2,0.1,5.1,0.0,0.0,3.7,7.0,2.8,4.0,0.0,5.2,5.7,8.0,6.9,0.0,4.6,5.1,5.4,5.0,0.1,4.3,4.0,6.9,6.3,5.3,7.3,7.5,7.0,8.0,7.5
ATG,2.1,Low,2.0,3.7,5.2,0.1,0.0,8.4,0.0,3.5,0.0,0.0,0.0,1.4,1.9,2.4,x,1.0,0.9,0.0,0.1,0.5,0.0,5.2,1.8,3.5,5.2,5.4,5.0,1.3,0.8,0.7,2.4
ARG,2.9,Low,2.6,4.0,6.7,6.5,0.0,0.0,3.8,3.8,0.9,1.3,0.0,2.8,1.7,1.1,4.5,0.0,3.8,6.1,0.4,0.6,0.0,1.0,0.5,3.5,4.7,3.8,5.5,2.1,1.7,3.0,1.5
ARM,5.4,High,8.4,4.4,8.2,4.3,0.0,0.0,4.9,5.1,10.0,2.3,10.0,4.1,1.8,1.3,2.3,2.4,5.8,8.4,0.3,0.8,0.1,1.8,0.8,4.5,6.3,7.5,5.1,1.9,1.8,1.2,2.7
AUS,2.3,Low,2.7,4.8,0.2,5.3,7.2,4.8,6.6,2.1,0.0,0.0,0.0,2.2,0.5,0.0,1.9,0.0,3.7,6.0,0.1,0.3,0.1,1.0,0.4,2.1,2.3,2.4,2.1,1.8,2.0,3.0,0.4
AUT,1.7,Very Low,1.3,2.5,4.2,5.5,0.0,0.0,1.9,1.6,0.0,0.0,0.0,2.6,0.3,0.0,1.2,0.1,4.4,7.0,0.1,0.3,0.0,0.2,0.2,1.5,2.1,2.0,2.2,0.8,1.8,0.0,0.6
AZE,5.9,High,8.5,4.8,8.8,4.9,0.0,0.0,5.0,5.4,10.0,7.3,10.0,5.2,2.7,2.9,4.3,0.6,6.9,9.4,0.7,1.4,0.0,1.3,0.9,4.6,6.2,x,6.2,2.5,1.7,3.1,2.6
