Income Level,Country,Color Bin,X,Jan.19,Feb.19,Mar.19,Apr.19,May.19,Jun.19,Jul.19,Aug.19,Sep.19,Oct.19,Nov.19,Dec.19,Jan.20,Feb.20,Mar.20,Apr.20,May.20,Jun.20,Jul.20,Aug.20,Sep.20,Oct.20,Nov.20,Dec.20,Jan.21,Feb.21,Mar.21,Apr.21,May.21,Jun.21,Jul.21,Aug.21
Low income,Afghanistan,2-5.,Food Change Yoy,,,0.03,,,,0.05,,0.04,0.03,0.03,0.05,,,,,,,,,,,,,,,,,,,,
Low income,Afghanistan,2-5.,Min. Bin,,,1.00,,,,1.00,,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,
Low income,Afghanistan,5-30.,Food Change Yoy,,,,0.05,0.07,0.06,,0.05,,,,,0.06,0.06,0.05,,,,,,,,,,,,,,,,,
Low income,Afghanistan,5-30.,Min. Bin,,,,1.00,1.00,1.00,,1.00,,,,,1.00,1.00,1.00,,,,,,,,,,,,,,,,,
Low income,Afghanistan,< 2.,Food Change Yoy,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,0.00,,
Low income,Afghanistan,< 2.,Min. Bin,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,
Low income,Burkina Faso,2-5.,Food Change Yoy,,,,,,,,,,,,,,,,,0.04,0.04,0.03,,,,,,,,,,0.04,,0.03,
Low income,Burkina Faso,2-5.,Min. Bin,,,,,,,,,,,,,,,,,1.00,1.00,1.00,,,,,,,,,,1.00,,1.00,
Low income,Burkina Faso,5-30.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,0.07,0.08,0.09,0.09,0.05,0.06,0.05,0.06,0.07,,0.06,,
Low income,Burkina Faso,5-30.,Min. Bin,,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,,
Low income,Burkina Faso,< 2.,Food Change Yoy,-0.03,-0.04,-0.04,-0.05,-0.05,-0.08,-0.08,-0.09,-0.10,-0.08,-0.06,-0.05,-0.02,0.00,-0.01,-0.01,,,,,,,,,,,,,,,,
Low income,Burkina Faso,< 2.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,
Low income,Burundi,2-5.,Food Change Yoy,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,
Low income,Burundi,2-5.,Min. Bin,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,
Low income,Burundi,5-30.,Food Change Yoy,,,,,,,,,,0.06,0.06,0.09,0.09,0.13,0.12,0.12,0.15,0.13,0.12,0.10,0.10,0.11,0.15,0.13,0.10,0.08,0.10,,,0.12,0.13,
Low income,Burundi,5-30.,Min. Bin,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,1.00,1.00,
Low income,Burundi,< 2.,Food Change Yoy,-0.11,-0.11,-0.08,-0.06,-0.06,-0.09,-0.06,-0.03,,,,,,,,,,,,,,,,,,,,,,,,
Low income,Burundi,< 2.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
Low income,Chad,2-5.,Food Change Yoy,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,
Low income,Chad,2-5.,Min. Bin,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,
Low income,Chad,5-30.,Food Change Yoy,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,
Low income,Chad,5-30.,Min. Bin,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,
Low income,Chad,< 2.,Food Change Yoy,-0.07,-0.07,-0.07,-0.09,-0.07,-0.04,-0.05,-0.05,-0.03,-0.04,-0.04,0.00,,,,,,,,,,,,,,,,,,0.00,-0.01,
Low income,Chad,< 2.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,1.00,1.00,
Low income,Ethiopia,5-30.,Food Change Yoy,0.11,0.11,0.11,0.14,0.21,0.20,0.20,0.23,0.23,0.23,0.24,0.23,0.22,0.25,0.27,0.26,0.20,0.23,0.25,0.22,,,,,,,,,,,,
Low income,Ethiopia,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,
Low income,Ethiopia,>30,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.38
Low income,Ethiopia,>30,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00
Low income,Gambia,5-30.,Food Change Yoy,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.06,0.08,0.07,0.06,0.06,0.05,0.07,0.06,0.07,0.06,0.07,0.09,0.10,0.10,0.08,0.10,0.11,0.11,
Low income,Gambia,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
Low income,Guinea,5-30.,Food Change Yoy,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.14,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.15,0.14,0.14,0.16,0.17,0.16,0.16,
Low income,Guinea,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,
Low income,Haiti,5-30.,Food Change Yoy,0.19,0.20,0.20,0.22,0.22,0.23,0.22,0.23,0.24,0.24,0.25,0.25,0.25,0.25,0.27,0.26,0.27,0.29,,,,0.26,0.24,0.23,0.23,0.22,,,,0.15,0.14,
Low income,Haiti,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,1.00,1.00,1.00,1.00,1.00,,,,1.00,1.00,
Low income,Haiti,>30,Food Change Yoy,,,,,,,,,,,,,,,,,,,0.31,0.34,0.30,,,,,,,,,,,
Low income,Haiti,>30,Min. Bin,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,,,,,,,,,,,
Low income,Liberia,5-30.,Food Change Yoy,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,Liberia,5-30.,Min. Bin,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,Liberia,< 2.,Food Change Yoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,-0.04,,,
Low income,Liberia,< 2.,Min. Bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,
Low income,Liberia,>30,Food Change Yoy,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,Liberia,>30,Min. Bin,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low income,Madagascar,2-5.,Food Change Yoy,,,,,,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,,,,,,,,
Low income,Madagascar,2-5.,Min. Bin,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,
Low income,Madagascar,5-30.,Food Change Yoy,0.06,0.06,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.07,0.08,0.08,,
Low income,Madagascar,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,,
Low income,Malawi,5-30.,Food Change Yoy,0.11,0.11,0.14,0.14,0.13,0.14,0.14,0.15,0.14,0.16,0.17,,0.18,0.17,0.15,0.15,0.14,0.13,0.12,0.11,0.10,0.11,0.10,0.10,0.10,0.10,,,,,0.10,0.10
Low income,Malawi,5-30.,Min. Bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,1.00,1.00
Low income,Malawi,>30,Food Change Yoy,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,
Low income,Malawi,>30,Min. Bin,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,
Low income,Mali,2-5.,Food Change Yoy,,,,,,,,,,,,,,,,,,,0.03,0.05,0.03,,0.05,0.03,0.03,,,,,,0.03,
