Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
AFG,7.540000000000001,6.053499365034384,0,0,0.41043999999999947,1.9380000000000006,5.601538461538461,10,0,0,32.3,0.598095238095266,-25.903723014452357,-40.7094079663208,10.261,0.969,43.59,6.8,0,0
AGO,8.96,4.1408108640946,0.9646763492917323,1.9187993669911592,0.16915999999999976,0.19200000000000017,5.36,9,0,0,25.2,0.470041156462592,14.470145239376004,28.781990504867377,4.229,0.096,45.16,5.6,0,0
ALB,3.420000000000001,10,6.666666666674814e-4,6.666666666674814e-4,0.3851999999999993,0,4.76,5.5,0,0,52.9,0.864660743569811,0.01,0.01,9.63,0,49.06,4.2,0,0
ARE,4.66,10,0,0,6.1814800000000005,0.7799999999999994,1.930769230769231,1.25,10,0,46.7,0.874189297959973,-20.4348976711362,-3.1285518509893464,154.537,0.39,67.45,2.5,10,0
ARG,2.2799999999999994,4.956516323592746,0,0,10,10,1.6338461538461537,3.5,0,0,58.6,0.524652460628153,-19.48423768518216,-19.338020204016843,284.565,6.796,69.38,3.4,0,0
ARM,3.959999999999999,NA,1.7440587867417143,3.5211952368553137,2.6766000000000014,2.024,NA,4,0,0,50.2,NA,26.16088180112571,52.8179285528297,66.915,1.012,NA,3.6,0,0
ATG,8.2,NA,6.666666666674814e-4,6.666666666674814e-4,0.29176,2.918000000000001,NA,4,0,0,29,NA,0.01,0.01,7.294,1.459,NA,3.6,0,0
AUS,0,0,10,9.281353943559857,0.25679999999999836,0.0779999999999994,2.644615384615384,0.25,0,0,75.5,0.159908944824599,439.8422090729783,139.22030915339786,6.42,0.039,62.81,2.1,0,0
AUT,2.3,7.217643706923472,0,10,1.639479999999999,0.09600000000000009,1.81076923076923,2.5,0,0,58.5,0.676034450107695,-64.1025641025641,194.23550137481237,40.987,0.048,68.23,3,0,0
AZE,7.16,4.127234541997124,3.3826762928721053,8.984252142403884,1.1998800000000003,0.4220000000000006,3.653846153846154,5,0,0,34.2,0.469132224633239,50.740144393081586,134.76378213605827,29.997,0.211,56.25,4,0,0
BDI,9.44,4.299045343275116,6.666666666674814e-4,6.666666666674814e-4,0.32631999999999906,0,9.663076923076924,10,0,0,22.8,0.480634920634923,0.01,0.01,8.158,0,17.19,6.5,0,0
BEL,1.8000000000000007,6.770332000252788,0,3.4211912139402543,5.17164,0.3699999999999992,2.5323076923076924,2,0,0,61,0.646087028050672,-38.919270519646346,51.31786820910382,129.291,0.185,63.54,2.8,0,0
BEN,8.24,2.330799837266798,7.779862414008756,10,0.0377200000000002,0,5.207692307692308,9.5,0,0,28.8,0.348861309523812,116.69793621013133,273.00699300699296,0.943,0,46.15,5.8,0,0
BFA,7.9799999999999995,3.0041812214930994,6.666666666674814e-4,6.666666666674814e-4,0.0038400000000002876,0,6.858461538461539,10,0,0,30.1,0.393944047619048,0.01,0.01,0.096,0,35.42,6.3,0,0
BGD,7,7.0074132043683814,1.1700126819917447,0.007379299921614901,2.169159999999999,2.4220000000000006,2.4676923076923076,8,0,0,35,0.661959563411487,17.550190229876154,0.11068949882422226,54.229,1.211,63.96,5.2,0,0
BGR,4.88,7.3944975376783475,0,3.755199224939858,0.6587199999999989,0.9039999999999999,3.413846153846154,4.25,0,0,45.6,0.687874775842601,-53.83495689172545,56.32798837409787,16.468,0.452,57.81,3.7,0,0
BHR,6.120000000000001,10,0,0,2.2735199999999995,0.5039999999999996,2.0830769230769244,4.75,0,0,39.4,0.999374637551238,-80.04692559771965,-24.854492727020254,56.838,0.252,66.46,3.9,0,0
BHS,7.88,2.0410675320250613,10,4.64074898191567,9.96828,7.992,2.4923076923076923,4.75,0,0,30.6,0.329463794325274,303.8355667140567,69.61123472873506,249.207,3.996,63.8,3.9,0,0
BIH,5.44,8.03729852805764,10,2.9400812077977436,0.31700000000000017,0.6959999999999997,6.683076923076923,5.249999999999999,0,0,42.8,0.730910163180973,459638.4615385887,44.10121811696615,7.925,0.348,36.56,4.1,0,0
BLR,6.94,5.1846158445270065,0,0.10616725377823677,3.8315599999999996,2.0860000000000003,5.319999999999999,4.5,0,0,35.3,0.539923674241733,-5.023527273461642,1.592508806673563,95.789,1.043,45.42,3.8,0,0
BLZ,7.64,1.8003957291713544,0.5128205128205128,1.2307652658884454,3.0323199999999995,0.718,1.2338461538461534,4.5,0,0,31.8,0.313350869155196,7.692307692307683,18.461478988326675,75.808,0.359,71.98,3.8,0,0
BOL,6.840000000000001,7.090645396094583,0,0,2.59352,4.308,2.484615384615384,7.250000000000001,0,0,35.8,0.66753194065354,-32.99422263425776,-34.863935067203286,64.838,2.154,63.85,4.9,0,0
BRA,2.0599999999999996,9.861401218623397,0,0,8.4902,10,NA,3.75,10,0,59.7,0.853033443960524,-20.455279196178562,-6.305954034317464,212.255,5.206,NA,3.5,10,0
BRB,7.620000000000001,2.50215775769688,0,2.967349209345186,1.6703200000000002,0,3.5261538461538464,5,0,0,31.9,0.360333685250637,-100,44.51023814017778,41.758,0,57.08,4,0,0
BRN,7.48,0,6.666666666674814e-4,6.666666666674814e-4,0.653080000000001,0,5.096923076923077,2.75,0,0,32.6,0.192465557966572,0.01,0.01,16.327,0,46.87,3.1,0,0
BTN,5.940000000000001,0,6.666666666674814e-4,6.666666666674814e-4,0.4591599999999989,0,1.643076923076924,5.5,0,0,40.3,0.0540043308892981,0.01,0.01,11.479,0,69.32,4.2,0,0
BWA,7.779999999999999,7.879098656886205,6.346236285607956,8.394969566080213,10,10,3.7507692307692313,6.75,0,0,31.1,0.720318716007368,95.19354428411934,125.9245434912032,620.969,9.537,55.62,4.7,0,0
CAF,8.54,2.9286744992526,6.666666666674814e-4,6.666666666674814e-4,0.007079999999998421,0,10,10,0,0,27.3,0.388888888888889,0.01,0.01,0.177,0,10.83,7.6,0,0
CAN,0,4.048465612555408,0,0,0.5280799999999992,0.33999999999999986,NA,0,0,0,75.3,0.463858661836217,-37.87354731599336,-1.9508143714852624,13.202,0.17,NA,2,0,0
CHE,0.6000000000000014,4.132358072756036,0,10,3.2207600000000003,0,4.0538461538461545,0,0,0,67,0.469475243909889,-124.79144275551461,160.72236041676658,80.519,-0.099,53.65,1.9,0,0
CHL,2.3400000000000007,7.199160866455074,0,0,2.8283999999999985,8.668,0,2.5,0,0,58.3,0.674797027934152,-22.209638930137697,-43.53795018157211,70.71,4.334,87.55,3,0,0
CHN,4.359999999999999,0,6.666666666674814e-4,6.666666666674814e-4,0.0013599999999982515,0,NA,3.5,10,0,48.2,0.036349206349211,0.01,0.01,0.034,0,NA,3.4,10,0
CIV,6.9,6.334380682773265,0,1.4144465215936535,0.09271999999999991,0.02200000000000024,6.058461538461539,9,0,0,35.5,0.616900181593988,-10.256410256410255,21.216697823904802,2.318,0.011,40.62,5.6,0,0
CMR,7.12,3.086693339689843,6.666666666674814e-4,6.666666666674814e-4,0.12851999999999997,0.04400000000000048,8.701538461538462,9.25,0,0,34.4,0.399468216093977,0.01,0.01,3.213,0.022,23.44,5.7,0,0
COD,8.7,8.27628121507556,0,1.127815321646633,0.13700000000000045,0.016000000000000014,7.067692307692308,10,10,0,26.5,0.746910002411016,-29.97585374266989,16.917229824699486,3.425,0.008,34.06,6.8,10,0
COG,9.28,2.9286744992526,10,6.878317991894234,0.16360000000000063,0.15600000000000058,5.336923076923076,9.25,0,0,23.6,0.388888888888889,438.7590310242244,103.17476987841351,4.09,0.078,45.31,5.7,0,0
COL,5.159999999999999,4.7359158649934034,0,0,9.03228,10,1.5538461538461537,5.75,0,0,44.2,0.509883307616669,-27.210852691683808,-39.509419811441866,225.807,6.82,69.9,4.3,0,0
COM,8.56,0,6.666666666674814e-4,6.666666666674814e-4,0.08544000000000018,0,NA,10,0,0,27.2,0.0590476190476147,0.01,0.01,2.136,0,NA,6,0,0
CPV,8.14,3.612880095641139,7.69031228175197,0,2.82636,1.5419999999999998,3.1569230769230767,6.25,0,0,29.3,0.434696305648294,115.35468422627955,-2.6072105540185317,70.659,0.771,59.48,4.5,0,0
CRI,4.98,7.382363709398087,0,0,6.5364,1.9640000000000004,3.5261538461538464,3.5,0,0,45.1,0.687062418662457,-28.2051282051282,-22.887353840641183,163.41,0.982,57.08,3.4,0,0
CUB,6.959999999999999,5.439730491532212,10,3.742931814597025,10,10,1.7707692307692309,3.5,0,0,35.2,0.557003544705347,157.77583006805523,56.14397721895538,665.436,5.688,68.49,3.4,0,0
CYP,5.3999999999999995,7.117698112223462,10,1.6010254875643088,10,4.504,2.7723076923076926,3.25,0,0,43,0.669343114149826,196.13292690215766,24.01538231346464,1016.243,2.252,61.98,3.3,0,0
CZE,3.5999999999999996,10,0,0.9823164332342298,0.7481200000000001,0.5060000000000002,4.535384615384615,3.5,0,0,52,1,-26.173612254982707,14.734746498513449,18.703,0.253,50.52,3.4,0,0
DEU,0.7999999999999989,4.389309674192852,0,7.1875663694183585,0.7653200000000009,0.5760000000000005,1.7307692307692317,0.5,0,0,66,0.486678098075567,-27.343823317796463,107.81349554127537,19.133,0.288,68.75,2.2,0,0
DJI,9.36,2.3158793087217084,6.666666666674814e-4,6.666666666674814e-4,0.05784000000000056,0,5.481538461538462,8.75,0,0,23.2,0.347862383363396,0.01,0.01,1.446,0,44.37,5.5,0,0
DMA,9.2,0.6100284051331872,NA,NA,0.23812000000000033,0,5.576923076923077,5.5,0,0,24,0.233656034157048,NA,NA,5.953,0,43.75,4.2,0,0
