Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
AFG,7.540000000000001,6.053499365034384,0,0,0.8471200000000003,2.5180000000000007,7.067692307692308,10,0,0,32.3,0.598095238095266,-17.10911093388022,-35.63353251942027,21.178,1.259,34.06,6.8,0,0
AGO,8.96,4.1408108640946,1.1562398268895677,1.1440774493862165,0.15648000000000017,0.23399999999999999,5.36,9,0,0,25.2,0.470041156462592,17.343597403343487,17.161161740793226,3.912,0.117,45.16,5.6,0,0
ALB,3.420000000000001,10,0,10,0.29187999999999903,0,4.76,5.5,0,0,52.9,0.864660743569811,-100,223.12388875842862,7.297,0,49.06,4.2,0,0
ARE,4.66,10,0,0,6.1936,0.7799999999999994,1.930769230769231,1.25,10,0,46.7,0.874189297959973,-15.610799251537028,-15.525458290291164,154.84,0.39,67.45,2.5,10,0
ARG,2.2799999999999994,4.956516323592746,0,0,10,10,1.6338461538461537,3.5,0,0,58.6,0.524652460628153,-18.157549636507053,-23.748150082915522,304.055,8.117,69.38,3.4,0,0
ARM,3.959999999999999,NA,1.9036831085023849,2.9570036767395536,2.27552,2.024,NA,4,0,0,50.2,NA,28.555246627535784,44.355055151093296,56.888,1.012,NA,3.6,0,0
ATG,8.2,NA,6.666666666674814e-4,6.666666666674814e-4,0.4667999999999992,0,NA,4,0,0,29,NA,0.01,0.01,11.67,0,NA,3.6,0,0
AUS,0,0,6.666666666674814e-4,6.666666666674814e-4,0.204600000000001,0.034000000000000696,2.644615384615384,0.25,0,0,75.5,0.159908944824599,0.01,0.01,5.115,0.017,62.81,2.1,0,0
AUT,2.3,7.217643706923472,0,10,1.5170000000000012,0.09600000000000009,1.81076923076923,2.5,0,0,58.5,0.676034450107695,-64.1025641025641,222.98604349237263,37.925,0.048,68.23,3,0,0
AZE,7.16,4.127234541997124,1.9429006734881131,8.014901837012617,0.8228399999999993,0.28200000000000003,3.8938461538461544,5,0,0,34.2,0.469132224633239,29.143510102321706,120.22352755518926,20.571,0.141,54.69,4,0,0
