"","Fr_Countryname.x","Country","Fr_Countryname.y","Fr_FCV_status","Fr_FCS_Normalised","Fr_month","Fr_pt_suc","Fr_pt_attempt","Fr_delayed","Fr_irreg_lead_ant","Fr_anticipation","Fr_delayed_adj","Fr_anticipation_adj","Fr_pol_trigger","Fr_REIGN_Normalised","Fr_Country of origin (ISO)","Fr_refugees","Fr_z_refugees","Fr_refugees_fragile","Fr_idps","Fr_z_idps","Fr_idps_fragile","Fr_z_refugees_norm","Fr_Displaced_UNHCR_Normalised","Fr_month_yr","Fr_fatal_month","Fr_fatal_month_log","Fr_fatal_3_month","Fr_fatal_3_month_log","Fr_fatal_z","Fr_sd","Fr_mean","Fr_BRD_Normalised"
<<<<<<< HEAD
"1","Libya","LBY","Libya","Medium-Intensity conflict",10,7,0,0,0,1,1,0,1,"Fragile",10,"LBY",16033,1.31959956785323,"Fragile",355672,0.642277319030563,"Not Fragile",10,6.42277319030563,Jun 2021,21,3.09104245335832,27,3.3322045101752,-1.31195650651945,1.44144729659243,5.22332066974451,0
"2","Sudan","SDN","Sudan","High-Institutional and Social Fragility",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"SDN",734947,1.22151268068247,"Fragile",1885782,-0.680296017481764,"Not Fragile",10,0,Jun 2021,138,4.93447393313069,445,6.10031895202006,1.27834573531794,0.489232810383271,5.474910275289,10
"3","Afghanistan","AFG","Afghanistan","High-Intensity Conflict",0,7,0,0,0,0,0,0,0,"Not Fragile",0,"AFG",2728853,1.20954830419611,"Fragile",2553390,1.33037304570665,"Fragile",10,10,Jun 2021,7730,8.95299349932047,16414,9.70595082993569,1.69918856806609,0.391613816705296,9.04052510949332,10
"4","Mozambique","MOZ","Mozambique","Medium-Intensity conflict",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"MOZ",77,1.90550580711589,"Fragile",180516,2.03028007670222,"Fragile",10,10,Jun 2021,207,5.33753807970132,315,5.75574221358691,0.687611770193625,0.835915674669451,5.18095675679485,8.43805885096813
"5","Niger","NER","Niger","Medium-Intensity conflict",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"NER",3063,1.42665034633896,"Fragile",191902,1.06337869433977,"Fragile",10,10,Jun 2021,63,4.15888308335967,252,5.53338948872752,0.43553914495956,0.861829851011121,5.15802885231751,7.1776957247978
"6","Algeria","DZA","Algeria",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"DZA",4514,1.48781742199383,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,2,1.09861228866811,-1.31529570348659,0.750700464502335,2.08600538423342,0
"7","Ethiopia","ETH","Ethiopia","Medium-Intensity conflict",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"ETH",95685,1.59356748234468,"Fragile",1733628,0.750490206032001,"Not Fragile",10,7.50490206032001,Jun 2021,513,6.24222326545517,1576,7.36327958696304,1.40668259386637,1.06048225918891,5.87151765185791,10
"8","Iraq","IRQ","Iraq","Medium-Intensity conflict",10,7,0,0,1,0,0,1,0,"Fragile",10,"IRQ",344460,0.1484014038314,"Not Fragile",1414632,-1.28554258120551,"Not Fragile",1.484014038314,0,Jun 2021,273,5.61312810638807,881,6.78219205600679,-0.000865824693855214,0.328205789657617,6.78247622468414,4.99567087653072
"9","South Sudan","SSD","South Sudan","Medium-Intensity conflict",10,7,0,0,0,0,1,0,1,"Fragile",10,"SSD",2234814,0.748819192515885,"Not Fragile",1665815,-1.11918733523625,"Not Fragile",7.48819192515885,0,Jun 2021,124,4.8283137373023,666,6.50279004591562,0.865008097247557,0.460758788863998,6.10422996267029,9.32504048623779
"10","Central African Republic","CAF","Central African Republic","Medium-Intensity conflict",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAF",610203,1.18920703589202,"Fragile",669906,0.84765583773798,"Not Fragile",10,8.4765583773798,Jun 2021,118,4.77912349311153,288,5.66642668811243,1.02945870572555,0.666813095274951,4.97997014208983,10
"11","Chad","TCD","Chad","Medium-Intensity conflict",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"TCD",11192,-0.564832926971926,"Not Fragile",170278,1.0277231751882,"Fragile",0,10,Jun 2021,18,2.94443897916644,605,6.40687998606931,1.97759906161256,0.762278882846333,4.89939798266533,10
"12","Croatia","HRV","Croatia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"HRV",23793,-0.750851519010677,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,-0.549707066026262,0.298643491501338,0.16416643750104,0
"13","Lebanon","LBN","Lebanon","High-Institutional and Social Fragility",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"LBN",5801,1.20394764243321,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,2,1.09861228866811,7,2.07944154167984,0.0327639312464227,0.697569693247253,2.05658641621069,5.16381965623211
"14","Maldives","MDV","Maldives",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"MDV",75,1.00247831854675,"Fragile",0,0,"Not Fragile",10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Mauritania","MRT","Mauritania",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"MRT",37423,1.06545668541687,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,0,0,-0.944473035656768,0.497756374756963,0.470117474284216,0
"16","Ukraine","UKR","Ukraine",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"UKR",59839,-1.21490314253036,"Not Fragile",734000,-1.3430592757425,"Not Fragile",0,0,Jun 2021,24,3.2188758248682,65,4.18965474202643,-0.0983302664039921,0.938059636995516,4.28189439603503,4.50834866798004
"17","Zimbabwe","ZWE","Zimbabwe","High-Institutional and Social Fragility",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"ZWE",10603,-1.64040353496233,"Not Fragile",270000,2.04124145231932,"Fragile",0,10,Jun 2021,0,0,2,1.09861228866811,-0.850625948487237,0.767531090966226,1.7514941509147,0
"18","Belarus","BLR","Belarus",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"BLR",3425,-1.11793418191719,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,-0.39609342292658,0.510104505140909,0.202049039491532,0
"19","Brazil","BRA","Brazil",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"BRA",1399,1.8769145809943,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,436,6.07993319509559,1334,7.19668657083435,0.149791377015837,0.146422535026939,7.17475373768652,5.74895688507918
"20","Cabo Verde","CPV","Cabo Verde",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"CPV",10,-0.502365070228673,"Not Fragile",0,0,"Not Fragile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Haiti","HTI","Haiti","Medium-Intensity conflict",10,7,0,0,1,1,1,1,1,"Fragile",10,"HTI",26734,-0.936109436046491,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,60,4.11087386417331,148,5.00394630594546,0.822551790043234,0.546887171571332,4.55410328401778,9.11275895021617
"22","Honduras","HND","Honduras",NA,0,7,0,0,0,0,1,0,0,"Not Fragile",0,"HND",26370,1.56738264377144,"Fragile",247090,1.0915648462873,"Fragile",10,10,Jun 2021,65,4.18965474202643,180,5.19849703126583,0.0425856733995499,0.303101538481739,5.18558924814114,5.21292836699775
"23","Peru","PER","Peru",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"PER",2765,-0.426586156798441,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,18,2.94443897916644,1.25135372600926,0.765123716864343,1.98699856521019,10
"24","Serbia","SRB","Serbia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"SRB",31251,-0.94833170844797,"Not Fragile",214696,-1.21332535272532,"Not Fragile",0,0,Jun 2021,0,0,0,0,-0.597978092648847,0.419578893760165,0.250898986606417,0
"25","Somalia","SOM","Somalia","High-Intensity Conflict",0,7,0,0,1,0,0,0,0,"Not Fragile",0,"SOM",905109,-1.26019120084474,"Not Fragile",2648000,1.10586606533145,"Fragile",0,10,Jun 2021,513,6.24222326545517,1001,6.90975328164481,0.198664484410429,0.22271341096709,6.86550803668375,5.99332242205214
"26","Yemen","YEM","Yemen","High-Intensity Conflict",0,7,0,0,0,0,0,0,0,"Not Fragile",0,"YEM",36518,1.26321050998283,"Fragile",3625716,1.42379318160516,"Fragile",10,10,Jun 2021,1203,7.09340462586877,4296,8.365672383775,-1.09349484270339,0.336209314410435,8.73331553515165,0
"27","Armenia","ARM","Armenia","High-Intensity Conflict",0,7,0,0,0,0,0,0,0,"Not Fragile",0,"ARM",10962,-0.315520370282834,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,1,0.693147180559945,-0.194380817838337,0.826680604932666,0.853838032637848,0
"28","Cameroon","CMR","Cameroon","Medium-Intensity conflict",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"CMR",66305,1.67813660179826,"Fragile",950263,1.60195564922123,"Fragile",10,10,Jun 2021,68,4.23410650459726,276,5.62401750618734,-1.22646302999423,0.282249772165267,5.97018641697233,0
"29","Colombia","COL","Colombia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"COL",189448,-0.706126498792975,"Not Fragile",7976412,0.925617165531393,"Not Fragile",0,9.25617165531393,Jun 2021,128,4.85981240436167,400,5.99396142730657,2.64154870777317,0.242875396950472,5.35239423634215,10
"30","Congo DR","COD","Congo DR","Medium-Intensity conflict",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"COD",807374,1.56403886099755,"Fragile",5014253,1.14180648423752,"Fragile",10,10,Jun 2021,433,6.07304453410041,1254,7.13489085156588,0.41966143533797,0.383042653482051,6.97414262180994,7.09830717668985
"31","Grenada","GRD","Grenada",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"GRD",80,-0.774242454443631,"Not Fragile",0,0,"Not Fragile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Guinea","GIN","Guinea",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"GIN",26857,1.53945835226344,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,4,1.6094379124341,13,2.63905732961526,0.0153992596622948,0.854729499094299,2.62589512811768,5.07699629831147
"33","Iran","IRN","Iran",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"IRN",129676,1.04474648784747,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,24,3.2188758248682,74,4.31748811353631,0.47563394046831,1.02143506011172,3.83165893096289,7.37816970234155
"34","Kenya","KEN","Kenya",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"KEN",8018,0.435541427883199,"Not Fragile",0,0,"Not Fragile",4.35541427883199,0,Jun 2021,62,4.14313472639153,104,4.65396035015752,0.872180857279266,0.453632141257454,4.25831108030617,9.36090428639633
"35","Malawi","MWI","Malawi",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"MWI",606,1.82232714257596,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,5,1.79175946922805,-0.213493524285802,0.864726678806313,1.97637301543037,0
"36","Mali","MLI","Mali","Medium-Intensity conflict",10,7,0,0,0,0,1,0,1,"Fragile",10,"MLI",164461,1.24660321795105,"Fragile",207751,1.74960087178116,"Fragile",10,10,Jun 2021,106,4.67282883446191,466,6.1463292576689,-0.358468726855633,0.315735478709594,6.25951055274508,3.20765636572183
"37","Montenegro","MNE","Montenegro",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"MNE",659,-0.30646975535114,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,-0.164398987305357,0.113952694537619,0.0187337075827012,0
"38","Nigeria","NGA","Nigeria","Medium-Intensity conflict",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"NGA",295569,1.04268911025947,"Fragile",2195779,0.609947170799869,"Not Fragile",10,6.09947170799869,Jun 2021,870,6.7696419768525,2651,7.88306935130575,1.33415728173573,0.359204347018785,7.40383425609951,10
"39","Papua New Guinea","PNG","Papua New Guinea","High-Institutional and Social Fragility",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"PNG",475,1.2939952073631,"Fragile",0,0,"Not Fragile",10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Romania","ROU","Romania",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"ROU",1352,-0.233097320374134,"Not Fragile",0,0,"Not Fragile",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","South Africa","ZAF","South Africa",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"ZAF",441,-0.489367958060598,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,9,2.30258509299405,64,4.17438726989564,1.31837245078043,0.371145477522995,3.68507929709757,10
"42","Tajikistan","TJK","Tajikistan",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"TJK",1987,1.42161577602132,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,19,2.99573227355399,0.787986016422442,1.41456466065823,1.88107510162995,8.93993008211221
"43","Zambia","ZMB","Zambia",NA,0,7,0,0,0,0,1,0,0,"Not Fragile",0,"ZMB",261,-0.615224459448262,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,2,1.09861228866811,3,1.38629436111989,-0.228468965169668,0.768941023657368,1.56197352107139,0
"44","Albania","ALB","Albania",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"ALB",15027,1.5541571734092,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,1,0.693147180559945,2.27881163243923,0.256143544549047,0.10944429166736,5
"45","Antigua and Barbuda","ATG","Antigua and Barbuda",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"ATG",117,1.17174560191597,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,0,0,-0.370006434950477,0.234167272203225,0.0866433975699932,0
"46","Argentina","ARG","Argentina",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"ARG",99,-0.732713904183309,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,2,1.09861228866811,2,1.09861228866811,-0.859468084546263,0.640407767149893,1.64902232562898,0
"47","Barbados","BRB","Barbados",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"BRB",243,1.34088870175738,"Fragile",0,0,"Not Fragile",10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Bolivia","BOL","Bolivia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"BOL",514,-0.6732111256455,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,0,0,0,0,-1.10207591177748,0.888887491388997,0.979621492540128,0
"49","Burkina Faso","BFA","Burkina Faso","Medium-Intensity conflict",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"BFA",11733,1.31831772262101,"Fragile",560033,2.03427826532239,"Fragile",10,10,Jun 2021,376,5.93224518744801,679,6.52209279817015,0.762499257218616,1.05734214316219,5.71587019938304,8.81249628609308
"50","Dominica","DMA","Dominica",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"DMA",50,1.59956569126811,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,0,0,0,0,-0.421463615211762,0.25967672586012,0.10944429166736,0
"51","Egypt","EGY","Egypt",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"EGY",27506,1.41624140077697,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,9,2.30258509299405,51,3.95124371858143,-2.68034813604032,0.473207833636109,5.21960545342765,0
"52","El Salvador","SLV","El Salvador",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"SLV",41850,1.51927279010678,"Fragile",71500,0.912862417558222,"Not Fragile",10,9.12862417558222,Jun 2021,21,3.09104245335832,89,4.49980967033027,-0.827184765250435,0.509116563188641,4.92094313513657,0.864076173747826
"53","Eritrea","ERI","Eritrea","High-Institutional and Social Fragility",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"ERI",505118,0.871716142264191,"Not Fragile",0,0,"Not Fragile",8.71716142264191,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Georgia","GEO","Georgia",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"GEO",7519,1.78804356036889,"Fragile",286216,1.24713885560134,"Fragile",10,10,Jun 2021,0,0,0,0,-0.769471169075111,0.397183344513671,0.305621132440097,0
"55","Guatemala","GTM","Guatemala",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"GTM",22770,1.4029439640076,"Fragile",0,0,"Not Fragile",10,0,Jun 2021,28,3.36729582998647,65,4.18965474202643,-1.4414480578784,0.597144790940746,5.05040794120016,0
"56","Lesotho","LSO","Lesotho",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"LSO",6,-0.596670578370261,"Not Fragile",0,0,"Not Fragile",0,0,Jun 2021,2,1.09861228866811,4,1.6094379124341,1.5676777524337,0.498081825131391,0.828606116284046,5
"57","Mauritius","MUS","Mauritius",NA,0,7,0,0,0,0,0,0,0,"Not Fragile",0,"MUS",178,1.48921772775335,"Fragile",0,0,"Not Fragile",10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Myanmar","MMR","Myanmar","Medium-Intensity conflict",10,7,0,0,0,0,0,0,0,"Not Fragile",0,"MMR",1078268,0.774765179393668,"Not Fragile",312018,-1.34792677341101,"Not Fragile",7.74765179393668,0,Jun 2021,699,6.5510803350434,2014,7.60837447438078,2.27056403688341,1.01483984580499,5.30411561729968,10
