Country,Fr_FCS_Normalised,Fr_REIGN_Normalised,Fr_Displaced_UNHCR_Normalised,Fr_BRD_Normalised,Fr_FCV_status_raw,Fr_pol_trigger_raw,Fr_z_idps_raw,Fr_fatal_z_raw
AFG,0,0,10,10,High-Intensity Conflict,Not Fragile,1.330373045706655,1.699707948476866
AGO,0,0,0,3.2886750196073944,NA,Not Fragile,0,-0.34226499607852123
ALB,0,0,0,5,NA,Not Fragile,0,2.2788116324392305
ARE,0,0,0,NA,NA,Not Fragile,0,NA
ARG,0,0,0,0,NA,Not Fragile,0,-0.8594680845462629
ARM,0,0,0,0,High-Intensity Conflict,Not Fragile,0,-0.19438081783833683
ATG,0,0,0,0,NA,Not Fragile,0,-0.3700064349504774
AUS,0,0,0,NA,NA,Not Fragile,0,NA
AUT,0,0,0,0,NA,Not Fragile,0,-0.6545928734053219
AZE,0,0,10,3.539901687739569,High-Intensity Conflict,Not Fragile,1.9654741466040924,-0.2920196624520863
BDI,10,0,0,10,Medium-Intensity conflict,Not Fragile,-0.6364726838010836,1.212044362127834
BEL,0,0,0,5,NA,Not Fragile,0,1.1330000102876117
BEN,0,0,0,10,NA,Not Fragile,0,1.2992327255709095
BFA,10,0,10,8.813782262736897,Medium-Intensity conflict,Not Fragile,2.03427826532239,0.7627564525473793
BGD,0,0,0,7.549720072048139,NA,Not Fragile,0,0.5099440144096278
BGR,0,0,0,0,NA,Not Fragile,0,NA
BHR,0,0,0,0,NA,Not Fragile,0,-0.2888921020321278
BHS,0,0,0,0,NA,Not Fragile,0,-0.49540407221570343
BIH,0,0,1.6952912574299983,0,NA,Not Fragile,0.1695291257429999,-0.4272771810823557
BLR,0,0,0,0,NA,Not Fragile,0,-0.39609342292658023
BLZ,0,0,0,7.912865739400865,NA,Not Fragile,0,0.582573147880173
BOL,0,0,0,0,NA,Not Fragile,0,-1.102075911777483
BRA,0,0,0,5.683824924562769,NA,Not Fragile,0,0.13676498491255373
BRB,0,0,0,NA,NA,Not Fragile,0,NA
BRN,0,0,NA,NA,NA,Not Fragile,NA,NA
BTN,0,0,0,NA,NA,Not Fragile,0,NA
BWA,0,0,0,NA,NA,Not Fragile,0,NA
CAF,10,NA,8.476558377379803,10,Medium-Intensity conflict,NA,0.8476558377379804,1.029458705725551
CAN,0,0,0,NA,NA,Not Fragile,0,NA
CHE,0,0,0,0,NA,Not Fragile,0,NA
CHL,0,0,0,0,NA,Not Fragile,0,-0.5220277824131156
CHN,0,0,0,0,NA,Not Fragile,0,-0.24688408317323984
CIV,0,0,0,6.167354889813074,NA,Not Fragile,-0.44565583039743906,0.233470977962615
CMR,10,0,10,0,Medium-Intensity conflict,Not Fragile,1.6019556492212326,-1.226463029994226
COD,10,0,10,7.0579256063545674,Medium-Intensity conflict,Not Fragile,1.1418064842375164,0.4115851212709134
COG,10,0,10,0,High-Institutional and Social Fragility,Not Fragile,1.0122623397775035,-0.575103710753842
COL,0,0,9.256171655313933,10,NA,Not Fragile,0.9256171655313933,2.647486786543353
COM,10,0,0,NA,High-Institutional and Social Fragility,Not Fragile,0,NA
CPV,0,0,0,NA,NA,Not Fragile,0,NA
CRI,0,0,0,0,NA,Not Fragile,0,-0.9104653047996105
CUB,0,0,0,0,NA,Not Fragile,0,-0.7316741451319873
CYP,0,0,NA,0,NA,Not Fragile,NA,-0.4272771810823557
CZE,0,0,0,5,NA,Not Fragile,0,3.75
DEU,0,0,0,0,NA,Not Fragile,0,0.8801921826797726
DJI,0,0,0,NA,NA,Not Fragile,0,NA
DMA,0,0,0,0,NA,Not Fragile,0,-0.42146361521176234
DNK,0,0,0,0,NA,Not Fragile,0,-0.4651302547095317
DOM,0,0,0,0,NA,Not Fragile,0,-1.5367969984510172
DZA,0,0,0,0,NA,Not Fragile,0,-1.315295703486591
ECU,0,0,0,0,NA,Not Fragile,0,-0.8145293468235385
EGY,0,0,0,0,NA,Not Fragile,0,-2.6803481360403247
ERI,10,0,0,NA,High-Institutional and Social Fragility,Not Fragile,0,NA
ESP,0,0,0,0,NA,Not Fragile,0,-0.4651302547095317
EST,0,0,0,0,NA,Not Fragile,0,NA
ETH,10,0,7.504902060320009,10,Medium-Intensity conflict,Not Fragile,0.7504902060320009,1.4137392840707963
FIN,0,0,NA,0,NA,Not Fragile,NA,-0.4651302547095317
FJI,0,0,0,NA,NA,Not Fragile,0,NA
FRA,0,0,0,0,NA,Not Fragile,0,0.902060793648758
FSM,10,NA,NA,NA,High-Institutional and Social Fragility,NA,NA,NA
GAB,0,0,0,0,NA,Not Fragile,0,0.26971061750317765
GBR,0,NA,0,0,NA,NA,0,0.10718376104246347
GEO,0,0,10,0,NA,Not Fragile,1.2471388556013376,-0.7694711690751107
GHA,0,0,0,9.060196694695525,NA,Not Fragile,0,0.8120393389391051
GIN,0,0,0,5.0769962983114745,NA,Not Fragile,0,0.015399259662294822
GMB,0,0,0,0,NA,Not Fragile,0,-0.8012336167697754
GNB,10,0,0,0,High-Institutional and Social Fragility,Not Fragile,0,-0.8308808838300304
GNQ,0,0,0,NA,NA,Not Fragile,0,NA
GRC,0,0,0,0,NA,Not Fragile,0,-0.15032483797811438
GRD,0,0,0,NA,NA,Not Fragile,0,NA
GTM,0,0,0,0,NA,Not Fragile,0,-1.4414480578783961
GUY,0,0,0,0,NA,Not Fragile,0,-0.6782518948924817
HND,0,0,10,5.212928366997749,NA,Not Fragile,1.0915648462872956,0.042585673399549925
HRV,0,0,0,0,NA,Not Fragile,0,-0.5497070660262623
HTI,10,10,0,9.112758950216168,Medium-Intensity conflict,Fragile,0,0.8225517900432338
