"","Index","Record_ID","Prior Record_ID","Countryname","Country","Outlook","Date","Prior Date","Count","Prior Count","Flag Change"
"1",1,108681,69161,"Afghanistan","AFG","Overall",2021-07-22,2021-07-21,4.5,4.5,0
"2",8,108688,69168,"Afghanistan","AFG","Underlying",2021-07-22,2021-07-21,3.5,3.5,0
"3",22,108702,69182,"Afghanistan","AFG","Emerging",2021-07-22,2021-07-21,3.5,3.5,0
"4",53,108733,69213,"Angola","AGO","Overall",2021-07-22,2021-07-21,4,4,0
"5",60,108740,69220,"Angola","AGO","Underlying",2021-07-22,2021-07-21,2.5,2.5,0
"6",74,108754,69234,"Angola","AGO","Emerging",2021-07-22,2021-07-21,3,3,0
"7",105,108785,69265,"Albania","ALB","Overall",2021-07-22,2021-07-21,1.5,1.5,0
"8",112,108792,69272,"Albania","ALB","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"9",126,108806,69286,"Albania","ALB","Emerging",2021-07-22,2021-07-21,2,2,0
"10",157,108837,69317,"United Arab Emirates","ARE","Overall",2021-07-22,2021-07-21,0.5,0.5,0
"11",164,108844,69324,"United Arab Emirates","ARE","Underlying",2021-07-22,2021-07-21,0,0,0
"12",178,108858,69338,"United Arab Emirates","ARE","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"13",209,108889,69369,"Argentina","ARG","Overall",2021-07-22,2021-07-21,1.5,1.5,0
"14",216,108896,69376,"Argentina","ARG","Underlying",2021-07-22,2021-07-21,1,1,0
"15",230,108910,69390,"Argentina","ARG","Emerging",2021-07-22,2021-07-21,3,3,0
"16",261,108941,69421,"Armenia","ARM","Overall",2021-07-22,2021-07-21,0.5,0.5,0
"17",268,108948,69428,"Armenia","ARM","Underlying",2021-07-22,2021-07-21,0,0,0
"18",282,108962,69442,"Armenia","ARM","Emerging",2021-07-22,2021-07-21,1,1,0
"19",313,108993,69473,"Antigua and Barbuda","ATG","Overall",2021-07-22,2021-07-21,0,0,0
"20",320,109000,69480,"Antigua and Barbuda","ATG","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"21",334,109014,69494,"Antigua and Barbuda","ATG","Emerging",2021-07-22,2021-07-21,0,0,0
"22",365,109045,69525,"Australia","AUS","Overall",2021-07-22,2021-07-21,0,0,0
"23",372,109052,69532,"Australia","AUS","Underlying",2021-07-22,2021-07-21,0,0,0
"24",386,109066,69546,"Australia","AUS","Emerging",2021-07-22,2021-07-21,0.5,0.5,0
"25",417,109097,69577,"Austria","AUT","Overall",2021-07-22,2021-07-21,0.5,0.5,0
"26",424,109104,69584,"Austria","AUT","Underlying",2021-07-22,2021-07-21,0,0,0
"27",438,109118,69598,"Austria","AUT","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"28",469,109149,69629,"Azerbaijan","AZE","Overall",2021-07-22,2021-07-21,2.5,2.5,0
"29",476,109156,69636,"Azerbaijan","AZE","Underlying",2021-07-22,2021-07-21,1,1,0
"30",490,109170,69650,"Azerbaijan","AZE","Emerging",2021-07-22,2021-07-21,2.5,2.5,0
"31",521,109201,69681,"Burundi","BDI","Overall",2021-07-22,2021-07-21,4.5,4.5,0
"32",528,109208,69688,"Burundi","BDI","Underlying",2021-07-22,2021-07-21,4.5,4.5,0
