"","Countryname","Country","H_HIS_Score","H_HIS_Score_norm","H_Oxrollback_score","H_Oxrollback_score_norm","H_Covidgrowth_biweeklydeaths","H_Covidgrowth_biweeklycases","H_Covidgrowth_deathsnorm","H_Covidgrowth_casesnorm","H_new_cases_smoothed_per_million","H_new_deaths_smoothed_per_million","H_new_cases_smoothed_per_million_norm","H_new_deaths_smoothed_per_million_norm","H_Date","H_GovernmentResponseIndex","H_GovernmentResponseIndexForDisplay","H_EconomicSupportIndex","H_EconomicSupportIndexForDisplay","H_ContainmentHealthIndex","H_ContainmentHealthIndexForDisplay","H_E1_Income.support","H_E1_Flag","H_GovernmentResponseIndexForDisplay_norm","H_EconomicSupportIndexForDisplay_norm","H_INFORM_rating.Value","H_INFORM_rating.Rating","H_covid_case_rate.Value","H_covid_case_rate.Rating","H_legal_stringency.Value","H_legal_stringency.Rating","H_international_travel.Value","H_international_travel.Rating","H_internal_movement.Value","H_internal_movement.Rating","H_stay_home.Value","H_stay_home.Rating","H_income_support.Value","H_income_support.Rating","H_debt_relief.Value","H_debt_relief.Rating","H_gdp_change.Value","H_gdp_change.Rating","H_unemployment.Value","H_unemployment.Rating","H_inflation.Value","H_inflation.Rating","H_school_close.Value","H_school_close.Rating","H_ipc_3_plus.Value","H_ipc_3_plus.Rating","H_growth_events.Value","H_growth_events.Rating","H_public_info.Value","H_public_info.Rating","H_testing_policy.Value","H_testing_policy.Rating","H_contact_trace.Value","H_contact_trace.Rating","H_growth_conflict.Value","H_growth_conflict.Rating","H_seasonal_flood.Value","H_seasonal_flood.Rating","H_seasonal_cyclone.Value","H_seasonal_cyclone.Rating","H_seasonal_exposure.Value","H_seasonal_exposure.Rating","H_ASAP_hotspot.Value","H_ASAP_hotspot.Rating","H_INFORM_severity.Value","H_INFORM_severity.Rating","H_INFORM_rating.Value_norm","H_wmo_don_alert","H_health_acaps"
"1","Afghanistan","AFG",32.3,7.54,0.598095238095266,6.05349936503438,-25.9037230144524,-40.7094079663208,0,0,10.261,0.969,0.410439999999999,1.938,20210727,NA,43.59,NA,0,NA,49.82,NA,NA,5.60153846153846,10,6.8,NA,"45.8","Medium","-999","High","Screening","Medium","No measures","High","No measures","High","No income support","High","0","High","4.0 %","Low","NO DATA",NA,"5.6 %","High","Partially open","Medium","10,938,928","High","NO DATA",NA,"Public officials urging caution about COVID-19","Medium","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","No contact tracing","High","10.51%","Medium","4.9","Medium","0.0","Low","5.8","Medium","Hotspot","High","Very High","High",10,0,0
"2","Angola","AGO",25.2,8.96,0.470041156462592,4.1408108640946,14.470145239376,28.7819905048674,0.964676349291732,1.91879936699116,4.229,0.096,0.16916,0.192,20210727,45.16,45.16,0,0,51.61,51.61,0,NA,5.36,10,5.6,NA,"4.1","Low","-999","High","Quarantine arrivals from high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Recommend not leaving house","Medium","No income support","High","1","Medium","0.4 %","Medium","NO DATA",NA,"22.3 %","High","Fully open","Low","NO DATA",NA,"-50.00%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Limited contact tracing - not done for all cases","Medium","-100.00%","Low","0.0","Low","0.0","Low","3.8","Medium","Hotspot","High","NO CRISIS","Low",9,0,0
"3","Albania","ALB",52.9,3.42,0.864660743569811,10,0.01,0.01,0.000666666666667481,0.000666666666667481,9.63,0,0.385199999999999,0,20210727,NA,49.06,NA,50,NA,48.93,NA,NA,4.76,5,4.2,NA,"2.8","Low","80","Medium","Ban on high-risk regions","Medium","No measures","High","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","5.0 %","Low","12.5 %","Medium","1.6 %","Low","Academic break","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-100.00%","Low","0.0","Low","0.0","Low","4.1","Medium","NO DATA",NA,"NO CRISIS","Low",5.5,0,0
"4","United Arab Emirates","ARE",46.7,4.66,0.874189297959973,10,-20.4348976711362,-3.12855185098935,0,0,154.537,0.39,6.18148,0.779999999999999,20210727,NA,67.45,NA,50,NA,69.94,NA,NA,1.93076923076923,5,2.5,NA,"235.4","High","80","Medium","Ban on high-risk regions","Medium","No measures","High","No measures","High","No income support","High","2","Low","3.1 %","Low","NO DATA",NA,"2.9 %","Low","Academic break","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"0.0","Low","0.0","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low",1.25,10,0
"5","Argentina","ARG",58.6,2.28,0.524652460628153,4.95651632359275,-19.4842376851822,-19.3380202040168,0,0,284.565,6.796,10,10,20210727,NA,69.38,NA,50,NA,72.14,NA,NA,1.63384615384615,5,3.4,NA,"529.5","High","80","Medium","Ban on high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","5.8 %","Low","11.4 %","Medium","42.0 %","High","Partially open","Medium","NO DATA",NA,"-61.15%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","-100.00%","Low","1.6","Low","0.0","Low","1.6","Low","NO DATA",NA,"NO CRISIS","Low",3.5,0,0
"6","Armenia","ARM",50.2,3.96,NA,NA,26.1608818011257,52.8179285528297,1.74405878674171,3.52119523685531,66.915,1.012,2.6766,2.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,"54.3","Medium","80","Medium","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"1.0 %","Low","24.2 %","High","3.9 %","Medium","Academic break","Low","NO DATA",NA,"0.00%","Medium","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"-37.50%","Low","0.0","Low","0.0","Low","3.1","Medium","NO DATA",NA,"Low","Medium",4,0,0
"7","Antigua and Barbuda","ATG",29,8.2,NA,NA,0.01,0.01,0.000666666666667481,0.000666666666667481,7.294,1.459,0.29176,2.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,"3.1","Low","-999","High","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"-3.0 %","High","NO DATA",NA,"1.1 %","Low","Academic break","Low","NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"NO DATA",NA,"0.1","Low","1.6","Low","0.0","Low","NO DATA",NA,"NO CRISIS","Low",4,0,0
"8","Australia","AUS",75.5,0,0.159908944824599,0,439.842209072978,139.220309153398,10,9.28135394355986,6.42,0.039,0.256799999999998,0.0779999999999994,20210727,NA,62.81,NA,0,NA,71.79,NA,NA,2.64461538461538,10,2.1,NA,"2.4","Low","-999","High","Total border closure","Low","Recommend closing (or significantly reduce volume/route ...","Medium","No measures","High","No income support","High","0","High","4.5 %","Low","6.5 %","Medium","1.7 %","Low","Fully open","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"0.0","Low","0.0","Low","6.3","Medium","NO DATA",NA,"NO CRISIS","Low",0.25,0,0
"9","Austria","AUT",58.5,2.3,0.676034450107695,7.21764370692347,-64.1025641025641,194.235501374812,0,10,40.987,0.048,1.63948,0.0960000000000001,20210727,NA,68.23,NA,100,NA,63.69,NA,NA,1.81076923076923,0,3,NA,"14.8","Low","80","Medium","Ban on high-risk regions","Medium","Require closing (or prohibit most people from using it)","Low","Require not leaving house with exceptions for daily exercise, grocery shopp ...","Medium","Government is replacing more than 50% of lost salary (or if a flat sum, it  ...","Low","2","Low","-6.6 %","High","5.3 %","Medium","1.4 %","Low","Academic break","Low","NO DATA",NA,"-28.57%","Low","Coordinated public information campaign (e.g. across traditional and social ...","Low","Open public testing (eg “drive through” testing available to asymptomatic p ...","Low","Comprehensive contact tracing - done for all cases","Low","NO DATA",NA,"3.7","Medium","0.0","Low","0.1","Low","NO DATA",NA,"NO CRISIS","Low",2.5,0,0
"10","Azerbaijan","AZE",34.2,7.16,0.469132224633239,4.12723454199712,50.7401443930816,134.763782136058,3.38267629287211,8.98425214240388,29.997,0.211,1.19988,0.422000000000001,20210727,NA,56.25,NA,0,NA,64.29,NA,NA,3.65384615384615,10,4,NA,"14.0","Low","80","Medium","Total border closure","Low","No measures","High","Recommend not leaving house","Medium","Government is replacing less than 50% of lost salary (or if a flat sum, it  ...","Medium","1","Medium","-4.3 %","High","5.8 %","Medium","2.8 %","Low","Academic break","Low","NO DATA",NA,"NO DATA",NA,"Coordinated public information campaign (e.g. across traditional and social ...","Low","Testing of anyone showing COVID-19 symptoms","Medium","Comprehensive contact tracing - done for all cases","Low","0.00%","Medium","0.0","Low","0.0","Low","1.0","Low","NO DATA",NA,"NO CRISIS","Low",5,0,0
